============================================================================
Job: bestcat_emb | ID: 1177273 | Node: gpu3
Array task: 28 (of job 1166079)
Start: Thu Aug 27 19:57:23 EDT 2026
NVIDIA L40, 46068 MiB, 0 MiB
NVIDIA L40, 46068 MiB, 613 MiB
NVIDIA L40, 46068 MiB, 613 MiB
NVIDIA L40, 46068 MiB, 613 MiB
============================================================================

Task 28: text_embed (text) / cv2  [PCA=0.8]
  Embedding: /ddn_exa/campbell/kaiyang/SLMGAE-pytorch/data/all_genes_text_embed.pt

Cleaning previous results: results/pcavar0.8_text_embed_cv2
Training: text_embed / cv2  (PCA=0.8)
  Output: results/pcavar0.8_text_embed_cv2
  Config: encoder=[16 16 16 16 16 16 16], epochs=2000, patience=10

Using GPU: NVIDIA L40

Loading 1 modality file(s) [raw, preprocessing deferred to per-fold fit]:
Cell-line conditioning: ENABLED (masked multi-label, 8 heads)
    labeled pairs: 128,870 over 8,844 genes (dropped 0 with no known head)
    same-head SL/non-SL conflicts resolved by OR (label=SL): 1,876 pairs -> 2,171 head-cells [JURKAT 1,461, K562 406, HELA 125, OTHER 107, 293T 36, A549 30, A375 6]
    K562     known  91,937  pos  8,705  neg  83,232  (or-resolved   406)
    JURKAT   known  66,122  pos  2,617  neg  63,505  (or-resolved 1,461)
    A549     known   8,889  pos    314  neg   8,575  (or-resolved    30)
    HELA     known   5,931  pos  1,250  neg   4,681  (or-resolved   125)
    A375     known   2,509  pos  1,094  neg   1,415  (or-resolved     6)
    293T     known   2,438  pos    326  neg   2,112  (or-resolved    36)
    PC9      known   1,014  pos     68  neg     946  (or-resolved     0)
    OTHER    known  27,002  pos  8,721  neg  18,281  (or-resolved   107)
Loaded raw tensors for 19397 genes
Loaded 22166 positive SL pairs
SL pairs involve 5257 unique genes
============================================================
Siamese SL Training
Model: siamese
CV Type: cv2
Folds: 5
============================================================

Generating CV2 splits (gene-based, multi-label)...
  Fold 1: train 68,530 pairs/109,228 labels  val 14,587 pairs/23,646 labels  test 45,753 pairs/72,968 labels
  Fold 2: train 63,092 pairs/101,706 labels  val 17,148 pairs/27,411 labels  test 48,630 pairs/76,725 labels
  Fold 3: train 63,695 pairs/102,423 labels  val 14,637 pairs/21,396 labels  test 50,538 pairs/82,023 labels
  Fold 4: train 68,487 pairs/110,473 labels  val 18,571 pairs/28,710 labels  test 41,812 pairs/66,659 labels
  Fold 5: train 67,523 pairs/109,717 labels  val 16,097 pairs/23,942 labels  test 45,250 pairs/72,183 labels

============================================================
Training Fold 1
============================================================

[fold 0] fitting preprocessing [method=plain: mean → col-standardize+SVD → mean/std; scope=train]
  Fit subset: 16394/19397 rows (84.5%)
  [text_embed] 1024d, 19397 genes, 6 missing
    mean-imputed 6/19397 genes (6144 NaN cells; locations fit on 16394 fit rows)
[fold 0] fold embeddings: (19397, 1024)
Fold 1 input_dim: 1024
  Trainable parameters: 19,745 (total 19,745) [SiameseSLMultiCell]
  Fold stamp: genes 42ff034debb48f84 all_pos 20be58a407d6aa9a meta 15e1a39cf91a5615
  L1 λ=0.01 for encoder.hidden_blocks.0.0.weight
  L1 λ=0.0075 for encoder.hidden_blocks.1.0.weight
  L1 λ=0.005 for encoder.hidden_blocks.2.0.weight
  L1 λ=0.004 for encoder.hidden_blocks.3.0.weight
  L1 λ=0.0025 for encoder.hidden_blocks.4.0.weight
  L1 λ=0.0015 for encoder.hidden_blocks.5.0.weight
  L1 λ=0.001 for encoder.projection.weight

  cell-line metrics  [baseline | raw AUPR | norm AUPR | AUPRG]
    strat : 0.122 | 0.678 | 0.633 | 0.961   <- AUPRG selects
    any   : 0.190 | 0.709 | 0.641 | 0.926   (AUROC 0.837)
    macro : 0.157 | 0.474 | 0.425 | 0.262   (per-line avg)
    K562   : 0.124 | 0.726 | 0.687 | 0.972
    JURKAT : 0.056 | 0.097 | 0.043 | 0.467
    A549   : 0.030 | 0.022 | -0.008 | -2.059
    HELA   : 0.218 | 0.812 | 0.759 | 0.942
    A375   : 0.373 | 0.993 | 0.989 | 0.997
    293T   : 0.118 | 0.095 | -0.026 | -0.805
    PC9    : 0.056 | 0.144 | 0.093 | 0.616
    OTHER  : 0.281 | 0.900 | 0.861 | 0.966

  cell-line metrics  [baseline | raw AUPR | norm AUPR | AUPRG]
    strat : 0.122 | 0.697 | 0.654 | 0.964   <- AUPRG selects
    any   : 0.190 | 0.703 | 0.633 | 0.922   (AUROC 0.841)
    macro : 0.157 | 0.470 | 0.421 | 0.478   (per-line avg)
    K562   : 0.124 | 0.749 | 0.713 | 0.974
    JURKAT : 0.056 | 0.121 | 0.068 | 0.696
    A549   : 0.030 | 0.023 | -0.007 | -1.213
    HELA   : 0.218 | 0.815 | 0.764 | 0.950
    A375   : 0.373 | 0.995 | 0.991 | 0.998
    293T   : 0.118 | 0.115 | -0.004 | -0.073
    PC9    : 0.056 | 0.080 | 0.025 | 0.540
    OTHER  : 0.281 | 0.866 | 0.814 | 0.948

  cell-line metrics  [baseline | raw AUPR | norm AUPR | AUPRG]
    strat : 0.122 | 0.709 | 0.668 | 0.966   <- AUPRG selects
    any   : 0.190 | 0.696 | 0.625 | 0.918   (AUROC 0.841)
    macro : 0.157 | 0.496 | 0.453 | 0.680   (per-line avg)
    K562   : 0.124 | 0.719 | 0.679 | 0.970
    JURKAT : 0.056 | 0.139 | 0.087 | 0.760
    A549   : 0.030 | 0.055 | 0.026 | 0.226
    HELA   : 0.218 | 0.871 | 0.835 | 0.968
    A375   : 0.373 | 0.994 | 0.990 | 0.997
    293T   : 0.118 | 0.197 | 0.089 | 0.562
    PC9    : 0.056 | 0.056 | -0.001 | -0.022
    OTHER  : 0.281 | 0.939 | 0.915 | 0.981

  cell-line metrics  [baseline | raw AUPR | norm AUPR | AUPRG]
    strat : 0.122 | 0.730 | 0.692 | 0.969   <- AUPRG selects
    any   : 0.190 | 0.715 | 0.648 | 0.927   (AUROC 0.838)
    macro : 0.157 | 0.512 | 0.469 | 0.810   (per-line avg)
    K562   : 0.124 | 0.753 | 0.718 | 0.975
    JURKAT : 0.056 | 0.171 | 0.122 | 0.828
    A549   : 0.030 | 0.043 | 0.014 | 0.359
    HELA   : 0.218 | 0.867 | 0.830 | 0.966
    A375   : 0.373 | 0.995 | 0.992 | 0.998
    293T   : 0.118 | 0.196 | 0.088 | 0.565
    PC9    : 0.056 | 0.157 | 0.107 | 0.820
    OTHER  : 0.281 | 0.916 | 0.883 | 0.971

  cell-line metrics  [baseline | raw AUPR | norm AUPR | AUPRG]
    strat : 0.122 | 0.733 | 0.696 | 0.972   <- AUPRG selects
    any   : 0.190 | 0.722 | 0.657 | 0.932   (AUROC 0.849)
    macro : 0.157 | 0.532 | 0.490 | 0.864   (per-line avg)
    K562   : 0.124 | 0.735 | 0.698 | 0.975
    JURKAT : 0.056 | 0.208 | 0.160 | 0.870
    A549   : 0.030 | 0.096 | 0.068 | 0.857
    HELA   : 0.218 | 0.870 | 0.834 | 0.962
    A375   : 0.373 | 0.996 | 0.993 | 0.999
